Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
SGS,Akofodjoule,October,2008,33,22.7,94,56.5,121.8,ME,1,130
SGS,Akofodjoule,October,2008,33,22.7,94,56.5,121.8,ME,2,80
SGS,Akofodjoule,September,2005,30.6,22.3,97,67,136.5,ME,1,497
FSM,Ketou,July,2008,29.8,22.6,96.5,67.1,0,ME,1,7758
FSM,Ketou,July,2008,29.8,22.6,96.5,67.1,0,ME,2,5867
FSM,Lalo,July,2008,29.8,22.6,96.5,67.1,0,ME,1,1136
FSM,Lalo,July,2008,29.8,22.6,96.5,67.1,0,ME,2,1623
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,1,9587
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,2,5175
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,3,6520
NGS,Papatia,August,2008,29.4,21.3,96.1,70.8,323.3,ME,1,2309
NGS,Papatia,August,2008,29.4,21.3,96.1,70.8,323.3,ME,2,1962
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,1,3754
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,2,2861
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,3,3265
FSM,Ketou,May,2007,32.6,24.1,96,61,131.1,ME,1,24471
FSM,Ketou,June,2007,30.8,23,96,65,102.5,ME,1,12508
FSM,Ketou,July,2007,29.9,22.6,96,68,276.4,ME,1,6809
FSM,Ketou,August,2007,29.1,22.4,96,71,177.3,ME,1,2794
FSM,Ketou,September,2007,30.5,22.7,96,66,138.1,ME,1,1658
FSM,Ketou,October,2007,31.5,23,96,62,130.2,ME,1,1374
FSM,Ketou,November,2007,33.5,23.8,96,55,15,ME,1,203
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,1,14128
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,1,12541
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,1,1224
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,1,342
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,1,1259
FSM,Ketou,May,2007,32.6,24.1,96,61,131.1,ME,2,18352
FSM,Ketou,June,2007,30.8,23,96,65,102.5,ME,2,7424
FSM,Ketou,July,2007,29.9,22.6,96,68,276.4,ME,2,3871
FSM,Ketou,August,2007,29.1,22.4,96,71,177.3,ME,2,1082
FSM,Ketou,September,2007,30.5,22.7,96,66,138.1,ME,2,1442
FSM,Ketou,October,2007,31.5,23,96,62,130.2,ME,2,506
FSM,Ketou,November,2007,33.5,23.8,96,55,15,ME,2,144
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,2,13655
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,2,8394
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,2,1193
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,2,349
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,2,3198
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,3,16930
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,3,8263
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,3,708
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,3,450
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,3,3944
FSM,Lalo,May,2007,32.6,24.1,96,61,103.8,ME,1,6206
FSM,Lalo,June,2007,30.8,23,96,65,150,ME,1,3051
FSM,Lalo,July,2007,29.9,22.6,96,68,165.1,ME,1,1053
FSM,Lalo,August,2007,29.1,22.4,96,71,78.4,ME,1,2329
FSM,Lalo,September,2007,30.5,22.7,96,66,192.6,ME,1,1265
FSM,Lalo,October,2007,31.5,23,96,62,166.8,ME,1,584
FSM,Lalo,November,2007,33.5,23.8,96,55,66.6,ME,1,271
FSM,Lalo,May,2009,32.9,23.9,96,60,160.1,ME,1,1551
FSM,Lalo,June,2009,31.5,23.3,96,64,0,ME,1,6756
FSM,Lalo,September,2009,30.3,22.7,96,66,66.6,ME,1,912
FSM,Lalo,October,2009,32.4,23.1,96,58,80.6,ME,1,643
FSM,Lalo,May,2010,32.9,23.9,96,60,79.9,ME,1,14370
FSM,Lalo,June,2010,31.5,23.3,96,64,35.5,ME,1,10148
FSM,Lalo,May,2007,32.6,24.1,96,61,103.8,ME,2,3811
FSM,Lalo,June,2007,30.8,23,96,65,150,ME,2,3254
FSM,Lalo,July,2007,29.9,22.6,96,68,165.1,ME,2,947
FSM,Lalo,August,2007,29.1,22.4,96,71,78.4,ME,2,1295
FSM,Lalo,September,2007,30.5,22.7,96,66,192.6,ME,2,1353
FSM,Lalo,October,2007,31.5,23,96,62,166.8,ME,2,522
FSM,Lalo,November,2007,33.5,23.8,96,55,66.6,ME,2,176
FSM,Lalo,May,2009,32.9,23.9,96,60,160.1,ME,2,1429
FSM,Lalo,June,2009,31.5,23.3,96,64,0,ME,2,5052
FSM,Lalo,September,2009,30.3,22.7,96,66,66.6,ME,2,704
FSM,Lalo,October,2009,32.4,23.1,96,58,80.6,ME,2,1270
FSM,Lalo,May,2010,32.9,23.9,96,60,79.9,ME,2,11692
FSM,Lalo,June,2010,31.5,23.3,96,64,35.5,ME,2,5547
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,1,12521
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,1,1225
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,1,1193
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,1,403
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,2,10120
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,2,1782
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,2,958
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,2,507
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,3,7559
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,3,1104
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,3,928
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,3,341
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,1,4831
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,1,906
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,2,2162
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,2,1177
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,3,1125
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,3,1457
NGS,Papatia,August,2007,28.8,21.2,96,70,340,ME,1,4071
NGS,Papatia,July,2009,29.9,21.4,96,67,229.5,ME,1,2707
NGS,Papatia,August,2009,30.5,21.5,96,70,344.2,ME,1,1060
NGS,Papatia,September,2009,31.4,21.3,96,69,248.2,ME,1,232
NGS,Papatia,August,2007,28.8,21.2,96,70,340,ME,2,3905
NGS,Papatia,July,2009,29.9,21.4,96,67,229.5,ME,2,2047
NGS,Papatia,August,2009,30.5,21.5,96,70,344.2,ME,2,697
NGS,Papatia,September,2009,31.4,21.3,96,69,248.2,ME,2,117
NGS,Papatia,July,2009,29.9,21.4,96,67,229.5,ME,3,2359
NGS,Papatia,August,2009,30.5,21.5,96,70,344.2,ME,3,997
NGS,Papatia,September,2009,31.4,21.3,96,69,248.2,ME,3,256
NGS,Parakou,August,2007,29.9,21.4,96,67,223.3,ME,1,1118
