Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa,latitude,longitude
SGS,Akofodjoule,October,2008,33,22.7,94,56.5,121.8,ME,1,130,7.75,2.38289865
SGS,Akofodjoule,October,2008,33,22.7,94,56.5,121.8,ME,2,80,7.75,2.38289865
SGS,Akofodjoule,September,2005,30.6,22.3,97,67,136.5,ME,1,497,7.75,2.38289865
FSM,Ketou,July,2008,29.8,22.6,96.5,67.1,0,ME,1,7758,7.36332,2.59978
FSM,Ketou,July,2008,29.8,22.6,96.5,67.1,0,ME,2,5867,7.36332,2.59978
FSM,Lalo,July,2008,29.8,22.6,96.5,67.1,0,ME,1,1136,6.9300647,1.8785304
FSM,Lalo,July,2008,29.8,22.6,96.5,67.1,0,ME,2,1623,6.9300647,1.8785304
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,1,9587,10.30416,1.37962
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,2,5175,10.30416,1.37962
NGS,Natitingou,August,2008,29.4,21.3,96.1,70.8,323.3,ME,3,6520,10.30416,1.37962
NGS,Papatia,August,2008,29.4,21.3,96.1,70.8,323.3,ME,1,2309,6.4000211,2.0491574
NGS,Papatia,August,2008,29.4,21.3,96.1,70.8,323.3,ME,2,1962,6.4000211,2.0491574
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,1,3754,6.98008,2.6649
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,2,2861,6.98008,2.6649
FSM,Iloulofin,July,2010,30.4,22.8,96,65,216.5,ME,3,3265,6.98008,2.6649
FSM,Ketou,May,2007,32.6,24.1,96,61,131.1,ME,1,24471,7.36332,2.59978
FSM,Ketou,June,2007,30.8,23,96,65,102.5,ME,1,12508,7.36332,2.59978
FSM,Ketou,July,2007,29.9,22.6,96,68,276.4,ME,1,6809,7.36332,2.59978
FSM,Ketou,August,2007,29.1,22.4,96,71,177.3,ME,1,2794,7.36332,2.59978
FSM,Ketou,September,2007,30.5,22.7,96,66,138.1,ME,1,1658,7.36332,2.59978
FSM,Ketou,October,2007,31.5,23,96,62,130.2,ME,1,1374,7.36332,2.59978
FSM,Ketou,November,2007,33.5,23.8,96,55,15,ME,1,203,7.36332,2.59978
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,1,14128,7.36332,2.59978
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,1,12541,7.36332,2.59978
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,1,1224,7.36332,2.59978
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,1,342,7.36332,2.59978
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,1,1259,7.36332,2.59978
FSM,Ketou,May,2007,32.6,24.1,96,61,131.1,ME,2,18352,7.36332,2.59978
FSM,Ketou,June,2007,30.8,23,96,65,102.5,ME,2,7424,7.36332,2.59978
FSM,Ketou,July,2007,29.9,22.6,96,68,276.4,ME,2,3871,7.36332,2.59978
FSM,Ketou,August,2007,29.1,22.4,96,71,177.3,ME,2,1082,7.36332,2.59978
FSM,Ketou,September,2007,30.5,22.7,96,66,138.1,ME,2,1442,7.36332,2.59978
FSM,Ketou,October,2007,31.5,23,96,62,130.2,ME,2,506,7.36332,2.59978
FSM,Ketou,November,2007,33.5,23.8,96,55,15,ME,2,144,7.36332,2.59978
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,2,13655,7.36332,2.59978
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,2,8394,7.36332,2.59978
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,2,1193,7.36332,2.59978
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,2,349,7.36332,2.59978
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,2,3198,7.36332,2.59978
FSM,Ketou,May,2009,32.9,23.9,96,60,45,ME,3,16930,7.36332,2.59978
FSM,Ketou,June,2009,31.5,23.3,96,64,238,ME,3,8263,7.36332,2.59978
FSM,Ketou,September,2009,30.3,22.7,96,66,88.5,ME,3,708,7.36332,2.59978
FSM,Ketou,October,2009,32.4,23.1,96,58,62.9,ME,3,450,7.36332,2.59978
FSM,Ketou,July,2010,30.4,22.8,96,65,216.5,ME,3,3944,7.36332,2.59978
FSM,Lalo,May,2007,32.6,24.1,96,61,103.8,ME,1,6206,6.9300647,1.8785304
FSM,Lalo,June,2007,30.8,23,96,65,150,ME,1,3051,6.9300647,1.8785304
FSM,Lalo,July,2007,29.9,22.6,96,68,165.1,ME,1,1053,6.9300647,1.8785304
FSM,Lalo,August,2007,29.1,22.4,96,71,78.4,ME,1,2329,6.9300647,1.8785304
FSM,Lalo,September,2007,30.5,22.7,96,66,192.6,ME,1,1265,6.9300647,1.8785304
FSM,Lalo,October,2007,31.5,23,96,62,166.8,ME,1,584,6.9300647,1.8785304
FSM,Lalo,November,2007,33.5,23.8,96,55,66.6,ME,1,271,6.9300647,1.8785304
FSM,Lalo,May,2009,32.9,23.9,96,60,160.1,ME,1,1551,6.9300647,1.8785304
FSM,Lalo,June,2009,31.5,23.3,96,64,0,ME,1,6756,6.9300647,1.8785304
FSM,Lalo,September,2009,30.3,22.7,96,66,66.6,ME,1,912,6.9300647,1.8785304
FSM,Lalo,October,2009,32.4,23.1,96,58,80.6,ME,1,643,6.9300647,1.8785304
FSM,Lalo,May,2010,32.9,23.9,96,60,79.9,ME,1,14370,6.9300647,1.8785304
FSM,Lalo,June,2010,31.5,23.3,96,64,35.5,ME,1,10148,6.9300647,1.8785304
FSM,Lalo,May,2007,32.6,24.1,96,61,103.8,ME,2,3811,6.9300647,1.8785304
FSM,Lalo,June,2007,30.8,23,96,65,150,ME,2,3254,6.9300647,1.8785304
FSM,Lalo,July,2007,29.9,22.6,96,68,165.1,ME,2,947,6.9300647,1.8785304
FSM,Lalo,August,2007,29.1,22.4,96,71,78.4,ME,2,1295,6.9300647,1.8785304
FSM,Lalo,September,2007,30.5,22.7,96,66,192.6,ME,2,1353,6.9300647,1.8785304
FSM,Lalo,October,2007,31.5,23,96,62,166.8,ME,2,522,6.9300647,1.8785304
FSM,Lalo,November,2007,33.5,23.8,96,55,66.6,ME,2,176,6.9300647,1.8785304
FSM,Lalo,May,2009,32.9,23.9,96,60,160.1,ME,2,1429,6.9300647,1.8785304
FSM,Lalo,June,2009,31.5,23.3,96,64,0,ME,2,5052,6.9300647,1.8785304
FSM,Lalo,September,2009,30.3,22.7,96,66,66.6,ME,2,704,6.9300647,1.8785304
FSM,Lalo,October,2009,32.4,23.1,96,58,80.6,ME,2,1270,6.9300647,1.8785304
FSM,Lalo,May,2010,32.9,23.9,96,60,79.9,ME,2,11692,6.9300647,1.8785304
FSM,Lalo,June,2010,31.5,23.3,96,64,35.5,ME,2,5547,6.9300647,1.8785304
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,1,12521,10.30416,1.37962
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,1,1225,10.30416,1.37962
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,1,1193,10.30416,1.37962
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,1,403,10.30416,1.37962
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,2,10120,10.30416,1.37962
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,2,1782,10.30416,1.37962
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,2,958,10.30416,1.37962
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,2,507,10.30416,1.37962
NGS,Natitingou,August,2007,28.8,21.2,96,70,340,ME,3,7559,10.30416,1.37962
NGS,Natitingou,July,2009,29.9,21.4,96,67,229.5,ME,3,1104,10.30416,1.37962
NGS,Natitingou,August,2009,30.5,21.5,96,70,344.2,ME,3,928,10.30416,1.37962
NGS,Natitingou,September,2009,31.4,21.3,96,69,248.2,ME,3,341,10.30416,1.37962
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,1,4831,9.8592172,2.6998899
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,1,906,9.8592172,2.6998899
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,2,2162,9.8592172,2.6998899
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,2,1177,9.8592172,2.6998899
NGS,Ndali,August,2007,29.9,21.4,96,67,223.3,ME,3,1125,9.8592172,2.6998899
NGS,Ndali,August,2010,28.8,21.8,96,70,237.1,ME,3,1457,9.8592172,2.6998899
